Date,sumCTL,areacode,Year,substance,depressed,suicide,self_harm,stress_anxiety,relationship,bereavement,bully,isolated,eating,abuse,lgbtq,other,racism,covid_19,sexual_abuse,emotional_abuse,uspecified_abuse,Time
2020-01-01,1,337,2020,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,337,2020,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,504,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,318,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,225,2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,318,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,318,2020,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,504,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,318,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,337,2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-01,1,337,2020,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,337,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,504,2020,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-01,1,318,2020,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-01,1,504,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-01,1,225,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-02,1,985,2020,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,504,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,318,2020,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,504,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,337,2020,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,337,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,225,2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,337,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,504,2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,504,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,337,2020,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-02,1,985,2020,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,504,2020,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,337,2020,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-03,1,504,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,504,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,504,2020,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,225,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,225,2020,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,504,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-03,1,318,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,985,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-03,1,225,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,985,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,225,2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,504,2020,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Before
2020-01-04,1,504,2020,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-04,1,504,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Before
2020-01-04,1,985,2020,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,337,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,504,2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,Before
2020-01-04,1,337,2020,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,318,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-04,1,225,2020,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,318,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,318,2020,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,985,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,225,2020,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-04,1,318,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-04,1,337,2020,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Before
2020-01-05,1,337,2020,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,318,2020,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,225,2020,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,318,2020,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,225,2020,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,985,2020,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,985,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,318,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,985,2020,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,504,2020,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,504,2020,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,504,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Before
2020-01-05,1,225,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,225,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,225,2020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,504,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,504,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,337,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-05,1,318,2020,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Before
2020-01-06,1,225,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Before
2020-01-06,1,318,2020,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Before
