Date,sumCTL,Year,substance,depressed,suicide,self_harm,stress_anxiety,relationship,bereavement,bully,isolated,eating,abuse,lgbtq,other,racism,covid_19,sexual_abuse,emotional_abuse,uspecified_abuse,Time
2019-01-01,116,234204,2,45,47,12,32,37,2,3,19,3,0,2,5,0,0,3,2,0,Before
2019-01-02,113,228147,2,56,35,12,38,49,5,3,24,1,3,0,8,0,0,2,10,0,Before
2019-01-03,158,319002,8,76,50,17,40,60,6,2,42,5,4,4,14,0,0,3,5,0,Before
2019-01-04,147,296793,5,77,56,17,49,63,5,7,39,1,3,4,7,0,0,5,4,0,Before
2019-01-05,126,254394,0,53,62,24,43,51,2,1,22,6,4,3,11,0,0,3,4,0,Before
2019-01-06,112,226128,2,51,39,16,32,41,6,2,23,6,3,2,6,0,0,3,6,0,Before
2019-01-07,137,276603,2,62,47,19,39,55,10,3,27,3,1,2,14,0,0,2,6,0,Before
2019-01-08,177,357363,6,75,57,16,69,73,9,2,39,4,3,2,20,0,0,5,1,0,Before
2019-01-09,129,260451,2,61,49,16,43,45,2,4,27,3,2,4,14,0,0,3,4,0,Before
2019-01-10,137,276603,3,58,40,18,34,52,6,6,42,5,3,3,12,0,0,3,8,0,Before
2019-01-11,135,272565,3,56,41,14,50,52,3,2,30,3,2,5,17,0,0,3,2,0,Before
2019-01-12,133,268527,7,62,34,18,38,51,4,6,32,3,3,3,17,0,0,6,4,0,Before
2019-01-13,143,288717,3,61,47,17,35,47,4,4,25,4,6,2,15,0,0,5,5,0,Before
2019-01-14,124,250356,3,52,31,22,43,49,7,6,18,2,0,4,12,0,0,3,2,0,Before
2019-01-15,120,242280,3,54,32,18,40,42,6,3,21,2,0,0,14,0,0,3,2,0,Before
2019-01-16,124,250356,5,45,36,13,42,47,8,2,22,4,2,1,9,0,0,2,4,0,Before
2019-01-17,108,218052,2,49,31,13,28,40,4,1,17,1,1,0,4,0,0,3,2,0,Before
2019-01-18,123,248337,4,59,36,20,42,37,4,3,31,6,3,1,10,0,0,4,3,0,Before
2019-01-19,103,207957,4,38,36,16,35,45,3,4,18,3,4,3,7,0,0,3,6,0,Before
2019-01-20,120,242280,3,58,45,10,21,47,7,3,31,1,2,1,12,0,0,5,1,0,Before
2019-01-21,122,246318,5,52,38,14,31,52,5,1,28,2,0,3,11,0,0,5,2,0,Before
2019-01-22,123,248337,2,45,37,13,30,46,4,4,26,4,3,4,13,0,0,4,1,0,Before
2019-01-23,152,306888,1,64,51,30,56,61,3,8,30,5,0,5,18,0,0,4,5,0,Before
2019-01-24,129,260451,2,46,36,13,41,47,2,7,36,3,6,2,11,0,0,3,7,0,Before
2019-01-25,138,278622,1,67,41,20,52,61,3,6,39,3,1,2,14,0,0,2,3,0,Before
2019-01-26,106,214014,2,33,24,19,36,40,3,0,23,7,0,6,15,0,0,1,0,0,Before
2019-01-27,126,254394,4,53,42,19,36,48,6,3,33,4,1,4,14,0,0,3,4,0,Before
2019-01-28,132,266508,0,49,46,23,36,45,6,2,26,7,0,3,14,0,0,2,1,0,Before
2019-01-29,162,327078,8,69,49,17,48,56,6,4,40,1,4,1,30,0,0,1,2,0,Before
2019-01-30,144,290736,6,57,44,16,43,54,7,2,30,5,0,2,14,0,0,0,4,0,Before
2019-01-31,122,246318,3,48,34,13,36,51,2,7,29,8,1,1,17,0,0,1,0,0,Before
2019-02-01,124,250356,1,49,35,12,35,55,3,5,26,4,0,1,8,0,0,3,7,0,Before
2019-02-02,128,258432,3,58,38,20,28,50,3,7,27,3,3,3,14,0,0,6,5,0,Before
2019-02-03,141,284679,1,47,50,14,41,49,5,1,33,5,2,2,15,0,0,5,8,0,Before
2019-02-04,127,256413,2,47,50,17,50,43,6,3,30,7,0,3,16,0,0,0,1,0,Before
2019-02-05,192,387648,1,88,54,21,53,74,9,8,50,10,4,3,16,0,0,1,5,0,Before
2019-02-06,145,292755,5,62,38,10,42,53,6,5,38,2,3,2,26,0,0,4,7,0,Before
2019-02-07,181,365439,5,90,44,12,61,75,8,5,47,5,5,3,12,0,0,3,8,0,Before
2019-02-08,131,264489,5,56,40,16,40,55,4,3,26,3,1,2,6,0,0,1,6,0,Before
2019-02-09,122,246318,2,58,41,8,36,46,5,3,24,6,1,4,16,0,0,2,4,0,Before
2019-02-10,118,238242,7,51,41,11,40,56,8,6,28,1,0,3,12,0,0,4,7,0,Before
2019-02-11,144,290736,5,55,54,20,41,64,10,5,23,3,4,5,18,0,0,3,3,0,Before
2019-02-12,142,286698,4,68,42,16,54,57,8,6,35,4,3,3,19,0,0,2,5,0,Before
2019-02-13,133,268527,5,59,34,16,51,52,7,6,28,4,4,3,12,0,0,3,7,0,Before
2019-02-14,119,240261,0,54,41,15,45,43,6,2,32,2,1,2,10,0,0,4,5,0,Before
2019-02-15,131,264489,1,52,43,15,35,59,4,5,30,0,2,4,12,0,0,3,4,0,Before
2019-02-16,112,226128,7,49,33,9,32,41,4,3,28,2,4,4,10,0,0,2,4,0,Before
2019-02-17,113,228147,3,36,37,10,35,43,3,5,22,0,1,2,13,0,0,6,6,0,Before
2019-02-18,136,274584,5,42,35,17,41,53,10,9,28,3,3,1,23,0,0,4,7,0,Before
2019-02-19,140,282660,2,59,54,18,46,50,6,4,24,6,6,1,12,0,0,4,8,0,Before
