Date,TAVG,RH,Mental_Health,Substance,Schizophrenia,Mood,Anxiety,Behavioral,Personality,Intellectual,Developmental,Emotional,loc
2016-01-01,8.3375,81.58875,60,37,2,25,22,1,1,0,0,0,1
2016-01-02,2.3725,66.5275,68,39,2,23,31,0,2,2,1,1,1
2016-01-03,2.1575,54.3725,69,44,3,31,32,0,2,1,0,0,1
2016-01-04,2.99125,50.2475,64,36,3,37,30,0,3,0,0,0,1
2016-01-05,-3.9875,60.0575,62,34,4,24,22,1,1,2,0,0,1
2016-01-06,-2.62,42.15875,62,40,5,28,18,0,1,0,0,0,1
2016-01-07,-0.90875,43.34125,63,46,3,28,24,1,1,0,0,0,1
2016-01-08,5.6125,67.57,71,37,4,39,23,0,2,0,2,2,1
2016-01-09,7.44125,87.5725,63,40,5,25,19,0,1,0,0,0,1
2016-01-10,6.89375,92.68,76,44,5,24,32,0,2,0,1,1,1
2016-01-11,-0.545,69.62125,82,51,6,41,37,1,6,1,1,1,1
2016-01-12,-2.5925,46.39125,67,40,4,33,29,0,2,0,0,0,1
2016-01-13,0.24,45.915,60,28,3,22,27,0,0,1,0,0,1
2016-01-14,-0.63375,37.4375,86,57,9,42,47,0,1,0,0,0,1
2016-01-15,4.6275,50.5575,57,31,1,20,26,0,1,0,1,1,1
2016-01-16,2.45625,94.1875,60,37,2,26,21,0,3,0,1,1,1
2016-01-17,3.73375,73.8825,57,41,3,16,18,0,1,0,0,0,1
2016-01-18,-2.12875,72.5125,57,35,5,24,18,0,1,0,1,1,1
2016-01-19,-7.9025,46.66,65,44,3,34,26,1,1,0,0,0,1
2016-01-20,-6.7925,52.15875,40,31,5,17,16,0,1,0,1,1,1
2016-01-21,-2.1925,78.545,67,40,6,31,27,0,3,0,1,1,1
2016-01-22,2.3025,69.8475,27,13,3,15,12,0,2,0,3,3,1
2016-01-23,-4.21375,94.59625,44,19,2,17,19,0,3,0,0,0,1
2016-01-24,-6.94875,80.16375,45,22,0,25,25,0,2,0,0,0,1
2016-01-25,-0.43625,53.85625,76,46,6,28,30,0,2,0,0,0,1
2016-01-26,2.5925,53.1625,96,55,6,37,40,0,0,1,0,0,1
2016-01-27,5.06,81.03375,66,39,3,34,31,0,5,1,0,0,1
2016-01-28,1.34,73.03875,72,46,7,34,32,0,2,0,2,2,1
2016-01-29,2.915,60.995,75,52,3,30,25,0,1,1,0,0,1
2016-01-30,2.15625,53.0175,67,33,0,26,19,0,2,1,3,3,1
2016-01-31,4.64875,54.67125,62,39,7,28,23,0,0,0,0,0,1
2016-02-01,7.5675,81.17125,60,32,4,29,30,1,4,0,1,1,1
2016-02-02,12.20375,81.83125,58,41,5,27,22,0,3,0,1,1,1
2016-02-03,11.38125,85.8175,78,51,3,29,29,0,1,0,0,0,1
2016-02-04,10.27125,92.43125,61,43,6,27,22,1,4,1,1,1,1
2016-02-05,2.3525,63.075,57,41,3,24,18,0,0,0,0,0,1
2016-02-06,-0.8975,48.495,66,41,7,28,24,1,2,0,1,1,1
2016-02-07,0.53875,45.24875,45,30,4,21,17,0,0,1,1,1,1
2016-02-08,1.96,52.68875,63,38,3,31,25,0,3,2,1,1,1
2016-02-09,1.46375,58.635,57,33,7,25,21,0,1,0,2,2,1
2016-02-10,-5.86125,66.3875,54,31,1,22,22,0,1,0,0,0,1
2016-02-11,-5.95875,49.75,66,40,6,32,33,0,1,0,0,0,1
2016-02-12,-1.6175,61.75375,81,54,6,43,32,1,3,0,1,1,1
2016-02-13,-1.60125,72.425,65,45,4,23,26,0,2,1,0,0,1
2016-02-14,-5.52875,44.8675,52,33,4,20,21,0,2,0,0,0,1
2016-02-15,-4.9875,48.9775,71,44,4,31,30,0,2,0,0,0,1
2016-02-16,0.1925,94.83125,90,53,8,38,40,0,1,1,0,0,1
2016-02-17,4.9425,74.76125,72,42,2,31,34,0,3,0,2,2,1
2016-02-18,1.59625,75.1175,56,34,3,23,24,0,1,0,0,0,1
2016-02-19,4.1175,57.23,65,45,9,27,29,0,3,1,1,1,1
2016-02-20,6.12375,58.745,66,35,4,28,35,1,0,0,1,1,1
2016-02-21,9.44,81.24125,64,41,3,21,22,0,2,1,1,1,1
2016-02-22,11.5125,88.2675,65,37,7,27,33,0,5,1,2,2,1
2016-02-23,11.35375,82.65125,68,46,4,31,31,0,4,0,2,2,1
2016-02-24,7.885,89.4475,66,43,5,28,29,0,2,0,1,1,1
2016-02-25,8.3975,64.68625,67,45,7,30,23,1,4,0,0,0,1
2016-02-26,1.90625,60.4925,75,42,6,39,31,0,3,1,1,1,1
2016-02-27,0.14625,62.6175,66,41,1,32,26,0,0,0,0,0,1
2016-02-28,3.6975,49.20375,58,32,3,24,28,0,1,0,0,0,1
2016-02-29,8.1,46.19625,81,49,3,38,34,0,4,0,0,0,1
2016-03-01,9.61,49.52125,79,49,9,31,27,0,1,3,4,4,1
2016-03-02,8.61,75.01875,73,50,4,28,32,0,2,0,1,1,1
2016-03-03,-0.345,70.12,66,47,3,27,26,0,2,0,0,0,1
2016-03-04,1.2225,77.22875,76,52,6,33,32,0,3,1,0,0,1
2016-03-05,2.2025,75.30375,73,49,1,22,28,0,2,1,0,0,1
2016-03-06,4.975,69.02125,71,45,2,28,21,0,1,0,1,1,1
2016-03-07,6.7125,48.29375,66,38,5,27,32,1,1,1,1,1,1
2016-03-08,8.9725,52.96625,65,42,4,26,24,1,1,1,0,0,1
2016-03-09,12.98125,57.8675,77,42,4,27,34,0,1,0,1,1,1
2016-03-10,14.555,69.05375,71,40,6,28,29,1,4,0,4,4,1
2016-03-11,16.77625,67.205,75,53,7,22,17,0,0,1,1,1,1
2016-03-12,17.255,70.9225,68,43,2,31,28,0,0,0,1,1,1
2016-03-13,17.70375,67.17625,76,39,3,30,45,0,3,0,0,0,1
2016-03-14,14.2675,83.25125,75,46,5,31,30,0,5,0,3,3,1
2016-03-15,14.60375,73.74,76,48,8,34,28,2,2,0,0,0,1
